"gender","ethnicity","domain"
"Man","Latinx","Art"
"Man","Asian","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","AIAN","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","AIAN","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","AIAN","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Asian","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","AIAN","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","Not Listed","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Black","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Black","Art"
"Man","Asian","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Woman","Black","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Latinx","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Black","Art"
"Woman","Black","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","Black","Art"
"Man","Black","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Black","Art"
"Man","Latinx","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","Black","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Not Listed","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","Not Listed","Art"
"Woman","Latinx","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Woman","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Black","Art"
"Woman","AIAN","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","Asian","Art"
"Man","Black","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Woman","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","Not Listed","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Not Listed","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","Not Listed","Art"
"Woman","Black","Art"
"Woman","Black","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","Black","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Man","Black","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Woman","Not Listed","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Woman","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","AIAN","Art"
"Woman","White","Art"
"Man","Black","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Woman","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","Not Listed","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Black","Art"
"Man","Latinx","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","Latinx","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Woman","White","Art"
"Woman","Latinx","Art"
"Woman","Latinx","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","AIAN","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","Asian","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","Asian","Art"
"Woman","Not Listed","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","Latinx","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","Black","Art"
"Man","Black","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Man","White","Art"
"Man","Latinx","Art"
"Woman","White","Art"
"Man","Latinx","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","White","Art"
"Man","Not Listed","Art"
"Man","Asian","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","White","Art"
"Woman","Asian","Art"
"Woman","White","Art"
"Man","White","Art"
"Man","Asian","Art"
"Woman","White","Art"
